LAMMPS data file for BaTiO3 core-shell model

5120 atoms
2560 bonds
6 atom types
3 bond types

0.0 32.0000 xlo xhi
0.0 32.0000 ylo yhi
0.0 32.0000 zlo zhi

Masses

1 137.33000  # Ba_core
2 0.00001  # Ba_shell
3 47.86700  # Ti_core
4 0.00001  # Ti_shell
5 15.99900  # O_core
6 0.00001  # O_shell

Atoms # full

442 221 2 -2.0000 0.010000 20.010000 16.010000
443 222 3 4.0000 2.000000 22.000000 18.000000
444 222 4 -4.0000 2.010000 22.010000 18.010000
445 223 5 -2.6667 2.000000 22.000000 16.000000
446 223 6 2.6667 2.010000 22.010000 16.010000
447 224 5 -2.6667 0.000000 22.000000 18.000000
448 224 6 2.6667 0.010000 22.010000 18.010000
449 225 5 -2.6667 2.000000 20.000000 18.000000
450 225 6 2.6667 2.010000 20.010000 18.010000
451 226 1 2.0000 0.000000 20.000000 20.000000
452 226 2 -2.0000 0.010000 20.010000 20.010000
453 227 3 4.0000 2.000000 22.000000 22.000000
454 227 4 -4.0000 2.010000 22.010000 22.010000
455 228 5 -2.6667 2.000000 22.000000 20.000000
456 228 6 2.6667 2.010000 22.010000 20.010000
457 229 5 -2.6667 0.000000 22.000000 22.000000
458 229 6 2.6667 0.010000 22.010000 22.010000
459 230 5 -2.6667 2.000000 20.000000 22.000000
460 230 6 2.6667 2.010000 20.010000 22.010000
461 231 1 2.0000 0.000000 20.000000 24.000000
462 231 2 -2.0000 0.010000 20.010000 24.010000
463 232 3 4.0000 2.000000 22.000000 26.000000
464 232 4 -4.0000 2.010000 22.010000 26.010000
465 233 5 -2.6667 2.000000 22.000000 24.000000
466 233 6 2.6667 2.010000 22.010000 24.010000
467 234 5 -2.6667 0.000000 22.000000 26.000000
468 234 6 2.6667 0.010000 22.010000 26.010000
469 235 5 -2.6667 2.000000 20.000000 26.000000
470 235 6 2.6667 2.010000 20.010000 26.010000
471 236 1 2.0000 0.000000 20.000000 28.000000
472 236 2 -2.0000 0.010000 20.010000 28.010000
